,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
199256,100072,"Stephen Karl ""Steve"" Rerych",M,22.0,200.0,91.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
199374,100133,Mary Lou Retton (-Kelley),F,16.0,145.0,42.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Individual All-Around,Gold
199599,100254,"Harry Lee ""Butch"" Reynolds, Jr.",M,24.0,193.0,84.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
199620,100267,Mark Jeffrey Reynolds,M,36.0,192.0,88.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Mixed Two Person Keelboat,Gold
199622,100267,Mark Jeffrey Reynolds,M,44.0,192.0,88.0,United States,USA,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Mixed Two Person Keelboat,Gold
199717,100315,"Kimberly Susan ""Kim"" Rhode (-Harryman)",F,17.0,163.0,82.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Women's Double Trap,Gold
199720,100315,"Kimberly Susan ""Kim"" Rhode (-Harryman)",F,25.0,163.0,82.0,United States,USA,2004 Summer,2004,Summer,Athina,Shooting,Shooting Women's Double Trap,Gold
199724,100315,"Kimberly Susan ""Kim"" Rhode (-Harryman)",F,33.0,163.0,82.0,United States,USA,2012 Summer,2012,Summer,London,Shooting,Shooting Women's Skeet,Gold
200065,100478,Alma Wilford Richards,M,22.0,188.0,84.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's High Jump,Gold
200068,100480,"Robert Eugene ""Bob"" Richards",M,26.0,178.0,75.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's Pole Vault,Gold
200069,100480,"Robert Eugene ""Bob"" Richards",M,30.0,178.0,75.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Pole Vault,Gold
200093,100499,"Michael ""Mike"" Richards",M,25.0,180.0,88.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
200124,100513,"Vincent ""Vinnie"" Richards",M,21.0,178.0,,United States,USA,1924 Summer,1924,Summer,Paris,Tennis,Tennis Men's Singles,Gold
200126,100513,"Vincent ""Vinnie"" Richards",M,21.0,178.0,,United States-2,USA,1924 Summer,1924,Summer,Paris,Tennis,Tennis Men's Doubles,Gold
200133,100516,Sanya Richards-Ross,F,19.0,173.0,62.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
200135,100516,Sanya Richards-Ross,F,23.0,173.0,62.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
200137,100516,Sanya Richards-Ross,F,27.0,173.0,62.0,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 400 metres,Gold
200138,100516,Sanya Richards-Ross,F,27.0,173.0,62.0,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
200152,100529,"Dorothy Gay ""Dot"" Richardson",F,34.0,175.0,60.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Gold
200153,100529,"Dorothy Gay ""Dot"" Richardson",F,38.0,175.0,60.0,United States,USA,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Gold
200240,100564,Walter Pierce Richardson,M,21.0,180.0,75.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
200314,100591,"Mitchell James ""Mitch"" Richmond, III",M,31.0,195.0,98.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,Gold
200413,100633,Malle Danica Ricker,F,31.0,169.0,63.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Women's Boardercross,Gold
200441,100651,Eric Ridder,M,34.0,,,Llanoria,USA,1952 Summer,1952,Summer,Helsinki,Sailing,Sailing Mixed 6 metres,Gold
200444,100653,"Steven Earl ""Steve"" Riddick",M,24.0,190.0,75.0,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
200704,100797,Aileen Muriel Riggin (-Soule),F,13.0,142.0,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Diving,Diving Women's Springboard,Gold
200717,100803,Cornelius Erwin Righter,M,23.0,180.0,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Rugby,Rugby Men's Rugby,Gold
200826,100865,Ruth Ellen Riley,F,24.0,195.0,88.0,United States,USA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Gold
200850,100881,"Edward Wiliam ""Ed"" Rimkus",M,34.0,,,United States-2,USA,1948 Winter,1948,Winter,Sankt Moritz,Bobsleigh,Bobsleigh Men's Four,Gold
201047,100995,"Walter Stephen ""Wally"" Ris",M,24.0,,,United States,USA,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,Gold
201048,100995,"Walter Stephen ""Wally"" Ris",M,24.0,,,United States,USA,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
201194,101061,Dorothy Louise Ritter,F,30.0,178.0,59.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's High Jump,Gold
201235,101075,Taylor Ritzel,F,23.0,188.0,84.0,United States,USA,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Gold
201399,101162,Romeo Norman Rivers,M,24.0,,,Canada,CAN,1932 Winter,1932,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
201673,101292,Gil Roberts,M,27.0,188.0,82.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
201746,101326,Tiffany Marie Roberts (-Sahaydak),F,19.0,163.0,51.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,Gold
201773,101337,Alvin Cyrrale Robertson,M,22.0,193.0,88.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,Gold
201779,101340,Bruce D. Robertson,M,30.0,198.0,95.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights,Gold
201808,101354,"Gordon ""Gordie"" Robertson",M,25.0,,,Canada,CAN,1952 Winter,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
201858,101376,Oscar Palmer Robertson,M,21.0,196.0,90.0,United States,USA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Gold
201901,101396,"Carl Joseph Robie, III",M,23.0,178.0,73.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 200 metres Butterfly,Gold
201902,101396,"Carl Joseph Robie, III",M,23.0,178.0,73.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
201927,101412,"Clarence Earl ""Arnie"" Robinson, Jr.",M,28.0,188.0,74.0,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's Long Jump,Gold
201932,101415,"Elizabeth M. ""Betty"" Robinson (-Schwartz)",F,16.0,167.0,57.0,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Women's 100 metres,Gold
201934,101415,"Elizabeth M. ""Betty"" Robinson (-Schwartz)",F,24.0,167.0,57.0,United States,USA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
201956,101428,David Maurice Robinson,M,26.0,216.0,107.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Gold
201957,101428,David Maurice Robinson,M,30.0,216.0,107.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,Gold
201980,101443,"Robert Lloyd Jackson ""Jack"" Robinson",M,21.0,183.0,82.0,United States,USA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Gold
202004,101459,Moushaumi Robinson,F,23.0,170.0,59.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
202036,101474,Kevin Bernard Robinzine,M,22.0,178.0,64.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
202121,101518,Peter Drake Rocca,M,18.0,191.0,80.0,United States,USA,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
202240,101577,Andrew Rock,M,22.0,185.0,79.0,United States,USA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
202252,101585,"James Stillman ""Babe"" Rockefeller",M,21.0,,,United States,USA,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Gold
202312,101614,"Richard Peter ""Dick"" Rodenhiser",M,27.0,173.0,70.0,United States,USA,1960 Winter,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
202505,101708,Amy Joy Rodriguez (-Shilling),F,21.0,163.0,66.0,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Gold
202506,101708,Amy Joy Rodriguez (-Shilling),F,25.0,163.0,66.0,United States,USA,2012 Summer,2012,Summer,London,Football,Football Women's Football,Gold
202822,101883,Otto Frederick Roehm,M,21.0,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
202936,101917,Diann Roffe-Steinrotter,F,26.0,162.0,60.0,United States,USA,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Super G,Gold
202983,101942,Annette Joan Rogers (-Kelly),F,18.0,162.0,50.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
202986,101942,Annette Joan Rogers (-Kelly),F,22.0,162.0,50.0,United States,USA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
203005,101951,Eugene Roy Rogers,M,24.0,,,United States,USA,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
203060,101972,Todd Jonathan Rogers,M,34.0,188.0,89.0,United States-1,USA,2008 Summer,2008,Summer,Beijing,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
203063,101974,William Lister Rogers,M,22.0,,,United States,USA,1924 Summer,1924,Summer,Paris,Rugby,Rugby Men's Rugby,Gold
203515,102175,Brianna Rollins,F,24.0,165.0,59.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres Hurdles,Gold
203518,102177,"Kenneth Herman ""Kenny"" Rollins",M,24.0,183.0,79.0,United States,USA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,Gold
204054,102441,Sean Michael Rooney,M,25.0,206.0,100.0,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Gold
204073,102452,Cornelius Louis Andr Roosevelt,M,21.0,,,Union des Socits Franais de Sports Athletiques,USA,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Gold
204075,102453,Julian Kean Roosevelt,M,27.0,,,Llanoria,USA,1952 Summer,1952,Summer,Helsinki,Sailing,Sailing Mixed 6 metres,Gold
204081,102458,"Jonathan Edward ""Jon"" Root",M,24.0,195.0,93.0,United States,USA,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Men's Volleyball,Gold
204276,102565,Ralph Waldo Rose,M,20.0,195.0,115.0,United States,USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's Shot Put,Gold
204281,102565,Ralph Waldo Rose,M,24.0,195.0,115.0,United States,USA,1908 Summer,1908,Summer,London,Athletics,Athletics Men's Shot Put,Gold
204283,102565,Ralph Waldo Rose,M,28.0,195.0,115.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,"Athletics Men's Shot Put, Both Hands",Gold
204366,102603,"Fanny ""Bobby"" Rosenfeld",F,23.0,169.0,61.0,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
204534,102697,Kyla Briana Ross,F,15.0,157.0,45.0,United States,USA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Gold
204551,102704,Norman DeMille Ross,M,23.0,188.0,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Freestyle,Gold
204552,102704,Norman DeMille Ross,M,23.0,188.0,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
204553,102704,Norman DeMille Ross,M,23.0,188.0,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
204820,102837,"Richard William ""Dick"" Roth",M,17.0,184.0,84.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 400 metres Individual Medley,Gold
204824,102841,George Helm Roth,M,21.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Gymnastics,Gymnastics Men's Club Swinging,Gold
204887,102870,"Keena Ruth Rothhammer (-Weisbly, -Zorovich)",F,15.0,175.0,66.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 800 metres Freestyle,Gold
204905,102880,Arthur Dale Rothrock,M,34.0,,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Gold
205002,102933,Lauriane Rougeau,F,23.0,173.0,75.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
205044,102961,"Jeffrey Norman ""Jeff"" Rouse",M,21.0,193.0,86.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
205045,102961,"Jeffrey Norman ""Jeff"" Rouse",M,25.0,193.0,86.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Backstroke,Gold
205046,102961,"Jeffrey Norman ""Jeff"" Rouse",M,25.0,193.0,86.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
205048,102963,Jason Rouser,M,26.0,198.0,84.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
205710,103259,"Joseph Aloysius ""Joe"" Ruddy, Sr.",M,25.0,,,New York Athletic Club-1,USA,1904 Summer,1904,Summer,St. Louis,Water Polo,Water Polo Men's Water Polo,Gold
205711,103259,"Joseph Aloysius ""Joe"" Ruddy, Sr.",M,25.0,,,New York Athletic Club #1-1,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's 4 x 50 Yard Freestyle Relay,Gold
205800,103298,"Wilma Glodean Rudolph (-Ward, -Eldridge)",F,20.0,180.0,59.0,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's 100 metres,Gold
205801,103298,"Wilma Glodean Rudolph (-Ward, -Eldridge)",F,20.0,180.0,59.0,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's 200 metres,Gold
205802,103298,"Wilma Glodean Rudolph (-Ward, -Eldridge)",F,20.0,180.0,59.0,United States,USA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
205901,103351,Angela Marie Ruggiero,F,18.0,175.0,86.0,United States,USA,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
206042,103437,Tracie Lehuanani Ruiz-Conforto,F,21.0,162.0,55.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Synchronized Swimming,Synchronized Swimming Women's Solo,Gold
206043,103437,Tracie Lehuanani Ruiz-Conforto,F,21.0,162.0,55.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
206081,103456,Kelly Kristen Rulon,F,27.0,178.0,61.0,United States,USA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Gold
206160,103490,Cierra Runge,F,20.0,193.0,85.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
206386,103602,"William Fenton ""Bill"" Russell",M,22.0,207.0,100.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold
206397,103607,"Douglas Albert ""Doug"" Russell",M,22.0,173.0,68.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Butterfly,Gold
206398,103607,"Douglas Albert ""Doug"" Russell",M,22.0,173.0,68.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
206406,103612,"Henry Argue ""Hank"" Russell",M,23.0,185.0,77.0,United States,USA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
206581,103701,"Benjamin Jon ""Ben"" Rutledge",M,27.0,194.0,95.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
206629,103722,Sylvia Eliina Ruuska,F,18.0,173.0,63.0,United States,USA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
206772,103779,"Joseph A. ""Joe"" Ryan",M,,,,Seawanhaka Boat Club-1,USA,1904 Summer,1904,Summer,St. Louis,Rowing,Rowing Men's Coxless Pairs,Gold
206810,103796,"Patrick James ""Paddy"" Ryan",M,39.0,188.0,113.0,United States,USA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Hammer Throw,Gold
206995,103885,Luann Marie Ryon,F,23.0,175.0,72.0,United States,USA,1976 Summer,1976,Summer,Montreal,Archery,Archery Women's Individual,Gold
207194,103972,Roy Allen Saari,M,19.0,188.0,86.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
207610,104184,"Richard Erwin ""Rich"" Saeger",M,20.0,185.0,84.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
208283,104543,"Joseph Steven ""Joe"" Sakic",M,32.0,180.0,88.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
208543,104687,Jamie Rae Sal (-Pelletier),F,24.0,155.0,50.0,Canada-1,CAN,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Mixed Pairs,Gold
208641,104754,"George J. Saling, Jr.",M,23.0,190.0,77.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 110 metres Hurdles,Gold
208652,104761,"Edwin Lyle ""Ed"" Salisbury",M,22.0,188.0,77.0,United States,USA,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
208699,104792,Annette Elizabeth Salmeen,F,21.0,170.0,,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
208762,104818,Riley David Salmon,M,32.0,197.0,89.0,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Gold
208769,104823,"Steven Edward ""Steve"" Salmons",M,26.0,193.0,93.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Gold
209214,105041,Paul Curkeet Samson,M,22.0,198.0,114.0,United States,USA,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
209367,105122,"Alden Reamer ""Zeke"" Sanborn",M,20.0,188.0,84.0,United States,USA,1920 Summer,1920,Summer,Antwerpen,Rowing,Rowing Men's Coxed Eights,Gold
209717,105305,Kaitlin Shea Sandeno (-Hogan),F,21.0,168.0,54.0,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
209739,105315,Anthony Marcus Sanders,M,26.0,185.0,91.0,United States,USA,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold
209743,105317,"Hayes Edward ""Ed"" Sanders",M,22.0,,,United States,USA,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Heavyweight,Gold
209760,105326,"Summer Elisabeth Sanders (-Henderson, -Schlopy)",F,19.0,175.0,57.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 200 metres Butterfly,Gold
209763,105326,"Summer Elisabeth Sanders (-Henderson, -Schlopy)",F,19.0,175.0,57.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
209775,105332,Cael Norman Sanderson,M,25.0,182.0,84.0,United States,USA,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
209892,105390,Charles Edward Sands,M,34.0,181.0,,United States,USA,1900 Summer,1900,Summer,Paris,Golf,Golf Men's Individual,Gold
211056,105988,Eric Anthony Teruo Sato,M,22.0,180.0,73.0,United States,USA,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Men's Volleyball,Gold
211299,106107,"Rebecca Elizabeth ""Becky"" Sauerbrunn",F,27.0,170.0,64.0,United States,USA,2012 Summer,2012,Summer,London,Football,Football Women's Football,Gold
211319,106116,Glynn Saulters,M,23.0,188.0,80.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,Gold
211331,106122,"David Patrick ""Dave"" Saunders",M,23.0,190.0,88.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Gold
211332,106122,"David Patrick ""Dave"" Saunders",M,27.0,190.0,88.0,United States,USA,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Men's Volleyball,Gold
211543,106228,Jill Savery,F,24.0,160.0,52.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
211810,106350,"Daniel Edward ""Ned"" Sawyer",M,22.0,,,Western Golf Association-1,USA,1904 Summer,1904,Summer,St. Louis,Golf,Golf Men's Team,Gold
211886,106391,John Anthony Sayre,M,24.0,193.0,88.0,United States,USA,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxless Fours,Gold
212326,106602,Arlie Alfred Schardt,M,24.0,173.0,64.0,United States,USA,1920 Summer,1920,Summer,Antwerpen,Athletics,"Athletics Men's 3,000 metres, Team",Gold
212383,106633,"Joseph Anthony ""Joe"" Schauers",M,23.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
212508,106702,Frank Reamer Schell,M,19.0,,,Vesper Boat Club,USA,1904 Summer,1904,Summer,St. Louis,Rowing,Rowing Men's Coxed Eights,Gold
212542,106719,"Norbert ""Norb"" Schemansky",M,28.0,181.0,105.5,United States,USA,1952 Summer,1952,Summer,Helsinki,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold
212989,106953,Charles Wilhelm Daniel Schlee,M,30.0,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Cycling,Cycling Men's 5 mile,Gold
213132,107024,Lauren Schmetterling,F,28.0,180.0,77.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Gold
213214,107063,"Jennifer Lynn ""Jenny"" Schmidgall-Potter",F,19.0,163.0,66.0,United States,USA,1998 Winter,1998,Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
213263,107093,"Frederick Weber ""Fred"" Schmidt",M,20.0,188.0,84.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
213368,107150,Willard Theodore Schmidt,M,26.0,205.0,86.0,United States,USA,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,Gold
213421,107173,Sandra Marie Schmirler (-Peterson-),F,34.0,184.0,72.0,Canada,CAN,1998 Winter,1998,Winter,Nagano,Curling,Curling Women's Curling,Gold
213438,107185,Allison Rodgers Schmitt,F,22.0,185.0,75.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Freestyle,Gold
213441,107185,Allison Rodgers Schmitt,F,22.0,185.0,75.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
213442,107185,Allison Rodgers Schmitt,F,22.0,185.0,75.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
213444,107185,Allison Rodgers Schmitt,F,26.0,185.0,75.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
213582,107252,"Julius Gustav Albert ""Bert"" Schneider",M,22.0,,,Canada,CAN,1920 Summer,1920,Summer,Antwerpen,Boxing,Boxing Men's Welterweight,Gold
213584,107253,"William Conrad ""Buzz"" Schneider",M,25.0,180.0,82.0,United States,USA,1980 Winter,1980,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
213698,107313,Nathalie Schneyder (-Bartleson),F,28.0,167.0,58.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
213798,107364,Michael Beaver Schoettle,M,15.0,,,Complex II,USA,1952 Summer,1952,Summer,Helsinki,Sailing,Sailing Mixed 5.5 metres,Gold
213814,107376,Clarke Currie Scholes,M,21.0,191.0,79.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 100 metres Freestyle,Gold
213824,107383,"Donald Arthur ""Don"" Schollander",M,18.0,180.0,79.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 100 metres Freestyle,Gold
213825,107383,"Donald Arthur ""Don"" Schollander",M,18.0,180.0,79.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 400 metres Freestyle,Gold
213826,107383,"Donald Arthur ""Don"" Schollander",M,18.0,180.0,79.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
213827,107383,"Donald Arthur ""Don"" Schollander",M,18.0,180.0,79.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
213829,107383,"Donald Arthur ""Don"" Schollander",M,22.0,180.0,79.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
213830,107383,"Donald Arthur ""Don"" Schollander",M,22.0,180.0,79.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
213831,107383,"Donald Arthur ""Don"" Schollander",M,22.0,180.0,79.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
